1_ortho	2_phon	3_lemme	4_cgram	5_genre	6_nombre	7_freqlemfilms2	8_freqlemlivres	9_freqfilms2	10_freqlivres	11_infover	12_nbhomogr	13_nbhomoph	14_islem	15_nblettres	16_nbphons	17_cvcv	18_p_cvcv	19_voisorth	20_voisphon	21_puorth	22_puphon	23_syll	24_nbsyll	25_cv-cv	26_orthrenv	27_phonrenv	28_orthosyll	29_cgramortho	30_deflem	31_defobs	32_old20	33_pld20	34_morphoder	35_nbmorph
abc	abese	abc	NOM	m		0.04	0.00	0.04	0.00		1	10	1	3	5	VCC	VCVCV	1	2	3	5	a-be-se	3	V-CV-CV	cba	eseba	abc	NOM			1.95	1.8	abc	1
abcès	apsE	abcès	NOM	m		1.79	3.31	1.79	3.31		1	1	1	5	4	VCCVC	VCCV	1	5	4	4	ap-sE	2	VC-CV	sècba	Espa	ab-cès	NOM	90	32	2.05	1.65	abcès	1
abdication	abdikasj§	abdication	NOM	f	s	0.05	1.96	0.05	1.82		1	2	1	10	9	VCCVCVCVVC	VCCVCVCYV	0	0	5	6	ab-di-ka-sj§	4	VC-CV-CV-CYV	noitacidba	§jsakidba	ab-di-ca-tion	NOM	70	20	2.65	2.55	abdiquer-ion	2
abdications	abdikasj§	abdication	NOM	f	p	0.05	1.96	0.00	0.14		1	2	0	11	9	VCCVCVCVVCC	VCCVCVCYV	0	0	0	6	ab-di-ka-sj§	4	VC-CV-CV-CYV	snoitacidba	§jsakidba	ab-di-ca-tions	NOM	70	20	2.75	2.55	abdiquer-ion	2
abdiqua	abdika	abdiquer	VER			0.47	2.77	0.00	0.20	ind:pas:3s;	1	1	0	7	6	VCCVCVV	VCCVCV	2	3	0	0	ab-di-ka	3	VC-CV-CV	auqidba	akidba	ab-di-qua	VER	100	25	2.15	1.75	abdiquer	1
abdiquai	abdikE	abdiquer	VER			0.47	2.77	0.00	0.07	ind:pas:1s;	1	4	0	8	6	VCCVCVVV	VCCVCV	0	3	0	0	ab-di-kE	3	VC-CV-CV	iauqidba	Ekidba	ab-di-quai	VER	100	25	2.3	1.75	abdiquer	1
abdiquaient	abdikE	abdiquer	VER			0.47	2.77	0.00	0.07	ind:imp:3p;	1	4	0	11	6	VCCVCVVVVCC	VCCVCV	0	3	0	0	ab-di-kE	3	VC-CV-CV	tneiauqidba	Ekidba	ab-di-quaient	VER	100	25	2.65	1.75	abdiquer	1
abdiquais	abdikE	abdiquer	VER			0.47	2.77	0.00	0.14	ind:imp:1s;	1	4	0	9	6	VCCVCVVVC	VCCVCV	1	3	0	0	ab-di-kE	3	VC-CV-CV	siauqidba	Ekidba	ab-di-quais	VER	100	25	2.45	1.75	abdiquer	1
abdiquait	abdikE	abdiquer	VER			0.47	2.77	0.00	0.20	ind:imp:3s;	1	4	0	9	6	VCCVCVVVC	VCCVCV	2	3	0	0	ab-di-kE	3	VC-CV-CV	tiauqidba	Ekidba	ab-di-quait	VER	100	25	2.3	1.75	abdiquer	1
abdiquant	abdik@	abdiquer	VER			0.47	2.77	0.00	0.07	par:pre;	1	1	0	9	6	VCCVCVVCC	VCCVCV	1	3	0	0	ab-di-k@	3	VC-CV-CV	tnauqidba	@kidba	ab-di-quant	VER	100	25	2.45	1.8	abdiquer	1
abdique	abdik	abdiquer	VER			0.47	2.77	0.23	0.41	imp:pre:2s;ind:pre:1s;ind:pre:3s;	1	1	0	7	5	VCCVCVV	VCCVC	2	1	0	0	ab-dik	2	VC-CVC	euqidba	kidba	ab-di-que	VER	100	25	1.75	1.75	abdiquer	1
abdiquer	abdike	abdiquer	VER			0.47	2.77	0.08	0.41	inf;	1	4	1	8	6	VCCVCVVC	VCCVCV	1	3	5	6	ab-di-ke	3	VC-CV-CV	reuqidba	ekidba	ab-di-quer	VER	100	25	2.25	1.8	abdiquer	1
abdiquera	abdik°Ra	abdiquer	VER			0.47	2.77	0.01	0.07	ind:fut:3s;	1	1	0	9	8	VCCVCVVCV	VCCVCVCV	0	1	0	0	ab-di-k°-Ra	4	VC-CV-CV-CV	areuqidba	aR°kidba	ab-di-que-ra	VER	100	25	2.5		abdiquer	1
abdiquerais	abdik°RE	abdiquer	VER			0.47	2.77	0.00	0.07	cnd:pre:1s;	1	2	0	11	8	VCCVCVVCVVC	VCCVCVCV	1	1	0	0	ab-di-k°-RE	4	VC-CV-CV-CV	siareuqidba	ER°kidba	ab-di-que-rais	VER	100	25	2.7		abdiquer	1
abdiquerait	abdik°RE	abdiquer	VER			0.47	2.77	0.00	0.07	cnd:pre:3s;	1	2	0	11	8	VCCVCVVCVVC	VCCVCVCV	1	1	0	0	ab-di-k°-RE	4	VC-CV-CV-CV	tiareuqidba	ER°kidba	ab-di-que-rait	VER	100	25	2.65		abdiquer	1
abdiquez	abdike	abdiquer	VER			0.47	2.77	0.03	0.00	imp:pre:2p;ind:pre:2p;	1	4	0	8	6	VCCVCVVC	VCCVCV	1	3	0	6	ab-di-ke	3	VC-CV-CV	zeuqidba	ekidba	ab-di-quez	VER	100	25	2.3	1.8	abdiquer	1
abdiqué	abdike	abdiquer	VER	m	s	0.47	2.77	0.11	0.95	par:pas;	1	4	0	7	6	VCCVCVV	VCCVCV	2	3	0	6	ab-di-ke	3	VC-CV-CV	éuqidba	ekidba	ab-di-qué	VER	100	25	2.3	1.8	abdiquer	1
abdiquée	abdike	abdiquer	VER	f	s	0.47	2.77	0.00	0.07	par:pas;	1	4	0	8	6	VCCVCVVV	VCCVCV	0	3	0	6	ab-di-ke	3	VC-CV-CV	eéuqidba	ekidba	ab-di-quée	VER	100	25	2.4	1.8	abdiquer	1
abdomen	abdomEn	abdomen	NOM	m	s	2.76	1.55	2.76	1.55		1	1	1	7	7	VCCVCVC	VCCVCVC	0	0	6	6	ab-do-mEn	3	VC-CV-CVC	nemodba	nEmodba	ab-do-men	NOM	100	24	3	2.85	abdomen	1
abdominal	abdominal	abdominal	ADJ	m	s	2.56	0.74	0.50	0.00		1	3	1	9	9	VCCVCVCVC	VCCVCVCVC	0	0	6	6	ab-do-mi-nal	4	VC-CV-CV-CVC	lanimodba	lanimodba	ab-do-mi-nal	ADJ	92	27	3.3	3.5	abdomin-al	2
abdominale	abdominal	abdominal	ADJ	f	s	2.56	0.74	1.30	0.61		1	3	0	10	9	VCCVCVCVCV	VCCVCVCVC	0	0	0	6	ab-do-mi-nal	4	VC-CV-CV-CVC	elanimodba	lanimodba	ab-do-mi-na-le	ADJ	92	27	3.3	3.5	abdomin-al	2
abdominales	abdominal	abdominal	ADJ	f	p	2.56	0.74	0.70	0.00		1	3	0	11	9	VCCVCVCVCVC	VCCVCVCVC	0	0	0	6	ab-do-mi-nal	4	VC-CV-CV-CVC	selanimodba	lanimodba	ab-do-mi-na-les	ADJ	92	27	3.45	3.5	abdomin-al	2
abdominaux	abdomino	abdominal	ADJ	m	p	2.56	0.74	0.06	0.14		2	2	0	10	8	VCCVCVCVVC	VCCVCVCV	0	0	0	0	ab-do-mi-no	4	VC-CV-CV-CV	xuanimodba	onimodba	ab-do-mi-naux	ADJ,NOM	92	27	3.7	3	abdomin-al	2
abdominaux	abdomino	abdominal	NOM	m	p	0.09	0.68	0.09	0.68		2	2	0	10	8	VCCVCVCVVC	VCCVCVCV	0	0	0	0	ab-do-mi-no	4	VC-CV-CV-CV	xuanimodba	onimodba	ab-do-mi-naux	ADJ,NOM			3.7	3	abdominal	1
abdos	abdo	abdos	NOM	m	p	0.86	0.00	0.86	0.00		1	1	1	5	4	VCCVC	VCCV	0	1	5	4	ab-do	2	VC-CV	sodba	odba	ab-dos	NOM	91	24	1.95	1.9	abdos	1
abducteur	abdykt9R	abducteur	ADJ	m	s	0.01	0.00	0.01	0.00		1	1	1	9	8	VCCVCCVVC	VCCVCCVC	1	0	7	6	ab-dyk-t9R	3	VC-CVC-CVC	ruetcudba	R9tkydba	ab-duc-teur	ADJ	57	28	2.65	2.65	abducteur	1
abduction	abdyksj§	abduction	NOM	f	s	0.05	0.00	0.05	0.00		1	1	1	9	8	VCCVCCVVC	VCCVCCYV	1	0	7	6	ab-dyk-sj§	3	VC-CVC-CYV	noitcudba	§jskydba		NOM			2.45	2.4	abduct-ion	2
abeille	abEj	abeille	NOM	f	s	9.11	9.86	3.53	3.18		1	2	1	7	4	VCVVCCV	VCVY	0	3	4	4	a-bEj	2	V-CVY	ellieba	jEba	a-beil-le	NOM	100	26	1.95	1.85	abeille	1
abeilles	abEj	abeille	NOM	f	p	9.11	9.86	5.59	6.69		1	2	0	8	4	VCVVCCVC	VCVY	0	3	0	4	a-bEj	2	V-CVY	sellieba	jEba	a-beil-les	NOM	100	26	2	1.85	abeille	1
aber	abe	aber	NOM	m	s	0.25	0.00	0.25	0.00		1	3	1	4	3	VCVC	VCV	2	15	4	3	a-be	2	V-CV	reba	eba	a-ber	NOM	30	26	1.85	1.15	a-ber	2
aberrant	abER@	aberrant	ADJ	m	s	0.84	2.50	0.58	1.08		2	3	1	8	5	VCVCCVCC	VCVCV	0	4	7	5	a-bE-R@	3	V-CV-CV	tnarreba	@REba	a-ber-rant	ADJ,VER	100	16	2.05	1.75	aberrant	1
aberrant	abER@	aberrer	VER			0.00	0.20	0.00	0.20	par:pre;	2	3	0	8	5	VCVCCVCC	VCVCV	0	4	7	5	a-bE-R@	3	V-CV-CV	tnarreba	@REba	a-ber-rant	ADJ,VER			2.05	1.75	aberrer	1
aberrante	abER@t	aberrant	ADJ	f	s	0.84	2.50	0.04	0.61		1	2	0	9	6	VCVCCVCCV	VCVCVC	1	2	0	0	a-bE-R@t	3	V-CV-CVC	etnarreba	t@REba	a-ber-ran-te	ADJ	100	16	2.55	1.85	aberrant	1
aberrantes	abER@t	aberrant	ADJ	f	p	0.84	2.50	0.20	0.34		1	2	0	10	6	VCVCCVCCVC	VCVCVC	0	2	0	0	a-bE-R@t	3	V-CV-CVC	setnarreba	t@REba	a-ber-ran-tes	ADJ	100	16	2.7	1.85	aberrant	1
aberrants	abER@	aberrant	ADJ	m	p	0.84	2.50	0.02	0.47		1	3	0	9	5	VCVCCVCCC	VCVCV	1	4	0	5	a-bE-R@	3	V-CV-CV	stnarreba	@REba	a-ber-rants	ADJ	100	16	2.65	1.75	aberrant	1
aberration	abERasj§	aberration	NOM	f	s	1.16	4.46	0.89	3.31		1	2	1	10	8	VCVCCVCVVC	VCVCVCYV	0	0	7	5	a-bE-Ra-sj§	4	V-CV-CV-CYV	noitarreba	§jsaREba	a-ber-ra-tion	NOM	95	21	2.85	2.4	a-ber-ion	3
aberrations	abERasj§	aberration	NOM	f	p	1.16	4.46	0.27	1.15		1	2	0	11	8	VCVCCVCVVCC	VCVCVCYV	0	0	0	5	a-bE-Ra-sj§	4	V-CV-CV-CYV	snoitarreba	§jsaREba	a-ber-ra-tions	NOM	95	21	2.9	2.4	a-ber-ion	3
abhorrais	abORE	abhorrer	VER			0.27	1.35	0.01	0.07	ind:imp:1s;	1	2	0	9	5	VCCVCCVVC	VCVCV	1	3	0	0	a-bO-RE	3	V-CV-CV	siarrohba	EROba	ab-hor-rais	VER	80	20	2.7	1.75	abhorrer	1
abhorrait	abORE	abhorrer	VER			0.27	1.35	0.01	0.68	ind:imp:3s;	1	2	0	9	5	VCCVCCVVC	VCVCV	2	3	0	0	a-bO-RE	3	V-CV-CV	tiarrohba	EROba	ab-hor-rait	VER	80	20	2.7	1.75	abhorrer	1
abhorrant	abOR@	abhorrer	VER			0.27	1.35	0.01	0.07	par:pre;	1	1	0	9	5	VCCVCCVCC	VCVCV	1	5	0	0	a-bO-R@	3	V-CV-CV	tnarrohba	@ROba	ab-hor-rant	VER	80	20	2.7	1.65	abhorrer	1
abhorre	abOR	abhorrer	VER			0.27	1.35	0.20	0.00	ind:pre:1s;ind:pre:3s;	1	3	0	7	4	VCCVCCV	VCVC	1	5	0	4	a-bOR	2	V-CVC	errohba	ROba	ab-hor-re	VER	80	20	2.45	1.25	abhorrer	1
abhorrer	abORe	abhorrer	VER			0.27	1.35	0.00	0.14	inf;	1	7	1	8	5	VCCVCCVC	VCVCV	1	3	7	5	a-bO-Re	3	V-CV-CV	rerrohba	eROba	ab-hor-rer	VER	80	20	2.55	1.7	abhorrer	1
abhorrez	abORe	abhorrer	VER			0.27	1.35	0.03	0.00	ind:pre:2p;	1	7	0	8	5	VCCVCCVC	VCVCV	1	3	0	5	a-bO-Re	3	V-CV-CV	zerrohba	eROba	ab-hor-rez	VER	80	20	2.55	1.7	abhorrer	1
